"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AGAP007740",0.00440672245318881,1.12368068777566,0.658,0.869,1,"C_5","AGAP007740"
"AGAP029036.3",0.00441138447147915,2.13790676145934,0.5,0.458,1,"C_5","AGAP029036"
"AGAP005531.2",0.00441247282616087,0.972288724552447,0.053,0.29,1,"C_5","AGAP005531"
"AGAP002647",0.00441247282616087,-0.505683222372117,0.053,0.29,1,"C_5","AGAP002647"
"AGAP005129.2",0.00441247282616087,-0.623404194480485,0.053,0.29,1,"C_5","AGAP005129"
"AGAP006280.1",0.00449171919546155,-2.4305627213098,0,0.182,1,"C_5","AGAP006280"
"AGAP008896.1",0.00449171919546155,-2.69429442634955,0,0.182,1,"C_5","AGAP008896"
"AGAP009123.2",0.00449171919546155,-2.69957208288563,0,0.182,1,"C_5","AGAP009123"
"AGAP028623.1",0.00449171919546155,-2.76351413663432,0,0.182,1,"C_5","AGAP028623"
"AGAP011145.2",0.00449171919546155,-2.85654761487477,0,0.182,1,"C_5","AGAP011145"
"AGAP005498",0.00449171919546155,-2.87096498949509,0,0.182,1,"C_5","AGAP005498"
"AGAP012986",0.00449171919546155,-2.91052325347366,0,0.182,1,"C_5","AGAP012986"
"AGAP013533.1",0.00449171919546155,-2.92958253093171,0,0.182,1,"C_5","AGAP013533"
"AGAP007738.2",0.00449171919546155,-2.97726175043892,0,0.182,1,"C_5","AGAP007738"
"AGAP005391",0.00449171919546155,-2.97994557559696,0,0.182,1,"C_5","AGAP005391"
"AGAP009283.2",0.00449171919546155,-2.99236134830815,0,0.182,1,"C_5","AGAP009283"
"AGAP000890.2",0.00449171919546155,-3.01102526102761,0,0.182,1,"C_5","AGAP000890"
"AGAP012437",0.00449171919546155,-3.0536915700521,0,0.182,1,"C_5","AGAP012437"
"AGAP007648",0.00449171919546155,-3.07099722575587,0,0.182,1,"C_5","AGAP007648"
"AGAP003179.2",0.00449171919546155,-3.08697578375922,0,0.182,1,"C_5","AGAP003179"
"AGAP003094.2",0.00449171919546155,-3.09415200637734,0,0.182,1,"C_5","AGAP003094"
"AGAP012063",0.00449171919546155,-3.12310422334462,0,0.182,1,"C_5","AGAP012063"
"AGAP005118.3",0.00449171919546155,-3.15743812654336,0,0.182,1,"C_5","AGAP005118"
"AGAP007119.1",0.00449171919546155,-3.16627076894101,0,0.182,1,"C_5","AGAP007119"
"AGAP007057.1",0.00449171919546155,-3.1736513736478,0,0.182,1,"C_5","AGAP007057"
"AGAP003903.1",0.00449171919546155,-3.19822667943765,0,0.182,1,"C_5","AGAP003903"
"AGAP009163.1",0.00449171919546155,-3.21165359221706,0,0.182,1,"C_5","AGAP009163"
"AGAP012383",0.00449171919546155,-3.21883020793731,0,0.182,1,"C_5","AGAP012383"
"AGAP004314",0.00449171919546155,-3.24773442974575,0,0.182,1,"C_5","AGAP004314"
"AGAP007953.1",0.00449171919546155,-3.24896154691379,0,0.182,1,"C_5","AGAP007953"
"AGAP000841.1",0.00449171919546155,-3.25300576503809,0,0.182,1,"C_5","AGAP000841"
"AGAP002333.1",0.00449171919546155,-3.25441485586866,0,0.182,1,"C_5","AGAP002333"
"AGAP011383.1",0.00449171919546155,-3.2597283256843,0,0.182,1,"C_5","AGAP011383"
"AGAP005142.1",0.00449171919546155,-3.27090202015075,0,0.182,1,"C_5","AGAP005142"
"AGAP008785.1",0.00449171919546155,-3.271078570527,0,0.182,1,"C_5","AGAP008785"
"AGAP008156.2",0.00449171919546155,-3.27592272273857,0,0.182,1,"C_5","AGAP008156"
"AGAP004025.2",0.00449171919546155,-3.2777628918011,0,0.182,1,"C_5","AGAP004025"
"AGAP002800.1",0.00449171919546155,-3.28822109746866,0,0.182,1,"C_5","AGAP002800"
"AGAP012494",0.00449171919546155,-3.30814149674221,0,0.182,1,"C_5","AGAP012494"
"AGAP004199.1",0.00449171919546155,-3.32194583843685,0,0.182,1,"C_5","AGAP004199"
"AGAP004754",0.00449171919546155,-3.34540542057239,0,0.182,1,"C_5","AGAP004754"
"AGAP010640.1",0.00449171919546155,-3.34918504893226,0,0.182,1,"C_5","AGAP010640"
"AGAP003585.2",0.00449171919546155,-3.36316087760549,0,0.182,1,"C_5","AGAP003585"
"AGAP001719.1",0.00449171919546155,-3.36711778070541,0,0.182,1,"C_5","AGAP001719"
"AGAP001799.2",0.00449171919546155,-3.36788508140643,0,0.182,1,"C_5","AGAP001799"
"AGAP003941.1",0.00449171919546155,-3.43050981019442,0,0.182,1,"C_5","AGAP003941"
"AGAP002308.2",0.00449171919546155,-3.44901559713671,0,0.182,1,"C_5","AGAP002308"
"AGAP007623",0.0044933465094724,-0.564007829235567,0.158,0.472,1,"C_5","AGAP007623"
"AGAP007683.2",0.00449465130905789,-0.253801437278125,0.053,0.285,1,"C_5","AGAP007683"
"AGAP003367.1",0.00456573214264128,1.37787296390402,0.105,0.393,1,"C_5","AGAP003367"
"AGAP003112",0.00456573214264128,0.752552466732213,0.105,0.393,1,"C_5","AGAP003112"
"AGAP009457.1",0.00460585494297822,-2.29154896222472,0.026,0.229,1,"C_5","AGAP009457"
"AGAP001928.2",0.00462242800190649,0.345255625547942,0.211,0.593,1,"C_5","AGAP001928"
"AGAP010281.2",0.00465001304837755,-1.80300132486682,0.026,0.234,1,"C_5","AGAP010281"
"AGAP001601.3",0.00472361321301356,-1.37664759540823,0.053,0.285,1,"C_5","AGAP001601"
"AGAP007113",0.00474212287302094,-0.997053715211571,0.079,0.332,1,"C_5","AGAP007113"
"AGAP010155",0.00475102881725904,-1.61149270251989,0.026,0.234,1,"C_5","AGAP010155"
"AGAP001475.1",0.00475800971076305,-2.0828410071345,0.026,0.229,1,"C_5","AGAP001475"
"AGAP006939.1",0.00477910426157636,-1.69154377527279,0.053,0.271,1,"C_5","AGAP006939"
"AGAP006462.1",0.0047941468188632,0.387295987631005,0.132,0.425,1,"C_5","AGAP006462"
"AGAP005920.2",0.00480227787848891,-1.5765285985703,0.026,0.234,1,"C_5","AGAP005920"
"AGAP005622",0.00480227787848891,-1.70197651205627,0.026,0.234,1,"C_5","AGAP005622"
"AGAP007968.1",0.00480227787848891,-1.76009541314814,0.026,0.234,1,"C_5","AGAP007968"
"AGAP000380",0.00480330847856844,-0.977818805038386,0.105,0.374,1,"C_5","AGAP000380"
"AGAP001866",0.00481207368465424,1.06222412918481,0.132,0.439,1,"C_5","AGAP001866"
"AGAP011284.1",0.00481651709216645,0.314855837583686,0.342,0.85,1,"C_5","AGAP011284"
"AGAP010837",0.00481811682650406,-0.276970542513253,0.053,0.285,1,"C_5","AGAP010837"
"AGAP028390",0.00482632041074274,3.8395827351459,0.184,0.061,1,"C_5","AGAP028390"
